translation_key	source_display_name	ru_name
item.kubejs.purple_moth_jelly	Purple Moth Jelly	Фиолетовое желе мотылька
item.kubejs.putty_knife	Putty Knife	Шпатель
item.kubejs.quantum_string	Quantum String	Квантовая нить
item.kubejs.reality_alloy	Reality Alloy	Сплав реальности
item.kubejs.reality_storage_cell1	Reality Storage Cell	Ячейка хранения реальности
item.kubejs.reality_storage_empty	Empty Reality Storage Cell	Пустая ячейка хранения реальности
item.kubejs.red_almond_water_can	Strawberry Almond Water	Клубничная миндальная вода
item.kubejs.red_location_card	Red Location Card	Красная карта местоположения
item.kubejs.red_moth_jelly	Red Moth Jelly	Красное желе мотылька
item.kubejs.rotten_wallpaper	Rotten Wallpaper	Гнилые обои
item.kubejs.scrap	Scrap	Металлолом
item.kubejs.sentimental_thaumium	Sentimental Thaumium	Сентиментальный таумий
item.kubejs.soul_fuse	Soul Fuse	Предохранитель душ
item.kubejs.soulcoal	Soulcoal	Уголь душ
item.kubejs.spruce_flooring	Spruce Flooring	Еловый настил
item.kubejs.straw_brush	Straw Brush	Соломенная щётка
item.kubejs.tiles_blue	Blue Tile	Синяя плитка
item.kubejs.treated_wood_flooring	Treated Wood Flooring	Настил из обработанной древесины
item.kubejs.uncanny_shroom	Uncanny Shroom	Зловещий гриб
item.kubejs.uncanny_shroom_seeds	Uncanny Shroom Seeds	Споры зловещего гриба
item.kubejs.unstable_compound	Unstable Compound	Нестабильное соединение
item.kubejs.wallpaper	Wallpaper	Обои
item.kubejs.wallpaper_blue	Blue Wallpaper	Синие обои
item.kubejs.wallpaper_green	Green Wallpaper	Зелёные обои
item.kubejs.wallpaper_lblue	Light Blue Wallpaper	Голубые обои
item.kubejs.wallpaper_lime	Lime Wallpaper	Лаймовые обои
item.kubejs.wallpaper_orange	Orange Wallpaper	Оранжевые обои
item.kubejs.wallpaper_pink	Pink Wallpaper	Розовые обои
item.kubejs.wallpaper_purple	Purple Wallpaper	Фиолетовые обои
item.kubejs.wallpaper_red	Red Wallpaper	Красные обои
item.kubejs.warped_flooring	Warped Flooring	Искажённый настил
item.kubejs.white_location_card	White Location Card	Белая карта местоположения
item.kubejs.wooden_knife	Wooden Knife	Деревянный нож
item.kubejs.yellow_location_card	Yellow Location Card	Жёлтая карта местоположения
