"id"	"source_hash"	"source"	"verdict"	"recommendation"
"patchouli-lang:botania:botania.page.manaTablet1"	"sha256:1df49deb03083e7792b871bc2445455ba3235db159740376d38398e39d0e1690"	"Tossing a tablet into a $(l:mana/pool)$(item)Mana Pool$(0)$(/l) will allow for flow of $(thing)Mana$(0) between them.$(p)Sneak-right clicking (or using a $(item)Dispenser$(0)) on the $(l:mana/pool)$(item)Mana Pool$(0)$(/l) with a $(l:basics/wand)$(item)Wand of the Forest$(0)$(/l) will change which way the $(thing)Mana$(0) will flow.$(p)Unlike normal items, dropped tablets never despawn."	"CHANGE"	"Бросьте планшет в $(l:mana/pool)$(item)Бассейн маны$(0)$(/l), чтобы между ними текла $(thing)мана$(0).$(p)Чтобы изменить направление потока, присядьте и нажмите по бассейну ПКМ либо используйте $(item)Раздатчик$(0), направленный на $(l:mana/pool)$(item)Бассейн маны$(0)$(/l), с $(l:basics/wand)$(item)Посохом Леса$(0)$(/l) внутри. Так изменится направление, в котором течёт $(thing)мана$(0).$(p)В отличие от обычных предметов, выброшенные планшеты никогда не исчезают."
"patchouli-lang:botania:botania.page.manaVoid0"	"sha256:b793a8723408aca65993653ee3a4417da7cb7f4f0f986eeed2c8b18c1324a313"	"The $(item)Mana Void$(0) is, in layman's terms, a grave for $(thing)Mana$(0). Any $(thing)Mana$(0) poured into this block will simply vanish into the void, never to be seen again.$(p)Placing one of these under a $(l:mana/pool)$(item)Mana Pool$(0)$(/l) will allow the pool to always accept $(thing)Mana$(0), but void any it can't hold."	"CHANGE"	"$(item)Мана-пустота$(0) — могила для $(thing)маны$(0): любая $(thing)мана$(0), попавшая в этот блок, бесследно исчезает.$(p)Поставив его под $(item)Бассейн маны$(0), вы позволите бассейну всё так же принимать $(thing)ману$(0), но уничтожать излишек."
"patchouli-lang:botania:botania.page.manastar0"	"sha256:f827bea6c37c24779acb5d4dfb4db75431423422fae8ad5cf847e9092b1336c0"	"The imprecise measurements of the $(l:basics/wand)$(item)Wand of the Forest$(0)$(/l) sometimes won't cut it for telling if you're turning a profit or loss in your $(l:mana/pool)$(item)Mana Pools$(0)$(/l).$(p)Creating a $(item)Manastar$(0) and placing it next to a pool will have the flower shine red if there's a loss, or blue if there's a profit. The measurement updates every few seconds."	"CHANGE"	"Неточных измерений $(item)Посоха Леса$(0) иногда недостаточно, чтобы понять, прибывает или убывает мана в $(item)Бассейнах$(0). Создайте $(item)Звезду маны$(0) и поставьте рядом с бассейном: при убыли она светится красным, при прибыли — синим. Показания обновляются раз в несколько секунд."
"patchouli-lang:botania:botania.page.sparkChanger0"	"sha256:2e530260dd3b4bfece1134a929ec3dee1dba30e5b9adad8d02689183b173bf6d"	"The $(item)Spark Tinkerer$(0) is a block with the ability to modify the $(l:mana/spark_upgrades)$(item)Augments$(0)$(/l) placed on $(l:mana/sparks)$(item)Sparks$(0)$(/l). Placing one adjacent to a $(l:mana/pool)$(item)Mana Pool$(0)$(/l) (or other block with a $(l:mana/sparks)$(item)Spark$(0)$(/l) attached) will connect it to that block.$(p)Right-clicking the $(item)Spark Tinkerer$(0) with a $(l:mana/spark_upgrades)$(item)Spark Augment$(0)$(/l) will put the augment in the block; the augment can be removed by right-clicking again."	"CHANGE"	"$(item)Искра ремесленника$(0) — блок, изменяющий $(item)Дополнения$(0), установленные на $(item)Искрах$(0). Поставьте её рядом с $(item)Бассейном маны$(0) или другим блоком с прикреплённой $(item)Искрой$(0), чтобы подключить её к нему.$(p)Нажмите ПКМ по $(item)Искре ремесленника$(0), держа $(item)Дополнение для искр$(0), чтобы установить его; повторное нажатие ПКМ снимет дополнение."
"patchouli-lang:botania:botania.page.sparks3"	"sha256:c57a40de3e07a327462d3f6349797136d23cff3310eb40010e6a81a272d55b16"	"Sparks can be dyed with $(item)Dye$(0); sparks with different colors will never interact. They can also be splashed with a bit of $(l:misc/phantom_ink)$(item)Phantom Ink$(0)$(/l) to make them highly translucent (in case you think they look too obtrusive)."	"CHANGE"	"$(item)Искры$(0) можно окрашивать красителями; искры разного цвета никогда не взаимодействуют. $(item)Призрачные чернила$(0) сделают искру почти прозрачной, если она кажется слишком заметной."
"patchouli-lang:botania:botania.page.spreader0"	"sha256:fdd90b91ad4f2e7785d64e7fe3ae09ca0beeabb4548152b4c3ce91f2ddf32bb8"	"The $(item)Mana Spreader$(0) is the single most important tool a botanist needs to manipulate $(thing)Mana$(0).$(p)This block shoots $(thing)Mana$(0) from point A to point B. It faces a cardinal direction when placed, but sneak-right clicking it with a $(l:basics/wand)$(item)Wand of the Forest$(0)$(/l) on a face points it elsewhere. It can be aimed at other blocks with a wand in $(thing)Bind Mode$(0)."	"CHANGE"	"$(item)Распространитель Маны$(0) — важнейший инструмент $(thing)Управления Маной$(0).$(p)Он переносит $(thing)Ману$(0) из одной точки в другую. При установке распространитель обращён в одну из сторон; присядьте и нажмите $(l:basics/wand)$(item)Посохом леса$(0)$(/l) по нужной грани, чтобы направить его туда. В $(thing)Режиме привязки$(0) посохом также можно направить распространитель на другой блок."
"patchouli-lang:botania:botania.page.spreader10"	"sha256:236f6070b6d28960ad4ea00397264f79499ab9d2aee1f9c217279061cf1bffab"	"Right-clicking the spreader with a piece of $(item)Wool$(0) will sleeve it. In addition to making the spreader look fancier, it'll also muffle the sound when a burst is shot, reducing the potential noise of a large number of spreaders in one area.$(p)Right-clicking will remove the sleeve."	"CHANGE"	"Нажмите ПКМ по распространителю, держа $(item)Шерсть$(0), чтобы обшить его. Шерсть не только украшает распространитель, но и приглушает звук при выпуске сгустка маны, что уменьшает шум от нескольких распространителей в одном месте. Повторное нажатие ПКМ пустой рукой снимет обшивку."
"patchouli-lang:botania:botania.page.cacophonium2"	"sha256:be8b9ffc1d92e5c633ae10c107fdac920357700c508bbe4cb72fb5ef2eb94867"	"For ultimate chaos, the $(item)Cacophonium$(0) can be placed in a $(item)Note Block$(0) with a sneak-right click, giving the block the ability to sound off animal or monster sounds on demand.$(p)You monster."	"CHANGE"	"Для полной какофонии присядьте и нажмите ПКМ по $(item)Нотному блоку$(0), чтобы поместить в него Какафоний: блок сможет по требованию воспроизводить звуки животных и монстров.$(p)Ну и чудовище же вы!"
"patchouli-lang:botania:botania.page.decorativeBlocks0"	"sha256:7ac3f53efcf36bff0fd8b769c1f62b7b78438d197685e26341caa5ce80afc247"	"Quite apart from functionality, there exist quite a few blocks for the sole purpose of making your builds look better.$(p)$(item)Livingrock$(0) and $(l:basics/pure_daisy)$(item)Livingwood$(0)$(/l) can be turned into decorative blocks; each material has four different decorative variations on its texture."	"CHANGE"	"Чтобы сделать строения красивее, доступно множество декоративных блоков.$(p)Блоки $(item)Жизнедерева$(0) и $(item)Жизнекамня$(0) можно превратить в декоративные; у каждого есть четыре варианта."
"patchouli-lang:botania:botania.page.decorativeBlocks10"	"sha256:f8593dbdb533258d68d61f714dab5a90c3754cd514e811286a72ce41bcc90765"	"$(item)Nether Quartz$(0) can be combined with a variety of substances to create a wide array of decorative $(item)Quartzes$(0).$(p)All of these can be crafted into their block counterparts, the same way $(item)Quartz$(0) can."	"CHANGE"	"Продолжим…$(p)Из $(item)Незер-кварца$(0) и разных материалов можно создавать другие декоративные $(item)Кварцевые$(0) блоки.$(p)Из каждого такого кварца, как и из обычного, можно создать соответствующий $(item)блок$(0)."
"patchouli-lang:botania:botania.page.dispenserTweaks0"	"sha256:14e82aa540235cd5eb453e5513a2ec54973d6ff94a77e3ffa4373b74829c4c97"	"$(thing)Botania$(0) tweaks $(item)Dispensers$(0) to be able to plant all kinds of seeds, from your standard wheat $(item)Seeds$(0) to $(item)Nether Warts$(0) and $(item)Cocoa Beans$(0) (the latter requiring a block of $(item)Jungle Wood$(0) across from the $(item)Dispenser$(0)).$(p)In conjunction with other blocks (like the $(l:devices/forest_drum)$(item)Drum of the Wild$(0)$(/l)), this allows for fully-automated crop farming."	"CHANGE"	"$(item)Раздатчик$(0) сажает любые семена — от $(item)Семян пшеницы$(0) до $(item)Адских наростов$(0) и $(item)Какао-бобов$(0); для последних перед раздатчиком должен быть блок древесины джунглей.$(p)Вместе с другими блоками, например с $(item)Барабаном дикой природы$(0), это позволяет полностью автоматизировать выращивание культур."
"patchouli-lang:botania:botania.page.headCreating1"	"sha256:b4bb0605beef34807d94893e38012c721d3fdd4601950e2ed95917a818291b15"	"Get your head in the game"	"CHANGE"	"Включите голову"
"patchouli-lang:botania:botania.page.mushrooms1"	"sha256:8b80bcdc98f5ee9fc47a77547de5738d251135607109ba80bf4f652ac7157a63"	"They don't make you bigger"	"CHANGE"	"Они не делают вас больше"
"patchouli-lang:botania:botania.page.phantomInk1"	"sha256:edf3a138e5b9c0175c7b055e81a85da763eca392da40a120c1c19bc06ba97161"	"Who you gonna call?"	"CHANGE"	"Кому позвонить?"
"patchouli-lang:botania:botania.page.shinyFlowers0"	"sha256:520164a13a4890f27027bc86c3ef61f6e7f29d40fb3a8871d405311ad0067b01"	"$(item)Glowstone Dust$(0) can be sprinkled over $(l:basics/flowers)$(item)Mystical Flowers$(0)$(/l) to turn them into $(item)Glimmering Flowers$(0), which sparkle bright enough to emit actual light (same brightness as $(item)Glowstone Block$(0)).$(p)Combining one of these with some $(item)Dirt$(0) and $(l:tools/grass_seeds)$(item)Pasture Seeds$(0)$(/l) yields a $(item)Floating Flower$(0), a miniature floating island that emits light and looks quite fancy indeed."	"CHANGE"	"Посыпьте $(item)Светящейся пылью$(0) $(l:basics/flowers)$(item)Мистический Цветок$(0)$(/l), чтобы получить $(item)Мерцающий цветок$(0), который светит так же ярко, как $(item)Светящийся камень$(0).$(p)Соедините его с $(item)Землёй$(0) и $(l:tools/grass_seeds)$(item)Луговыми семенами$(0)$(/l), чтобы получить $(item)Парящий цветок$(0) — миниатюрный светящийся остров."
"patchouli-lang:botania:botania.page.exchangeRod2"	"sha256:10b9428daf9bcc73361496c107a9ba4c7035344b42fb897c09ab70031df0d826"	"Other rods or devices can supply blocks to the $(item)Rod of the Shifting Crust$(0).$(p)For example, a $(l:tools/dirt_rod)$(item)Rod of the Lands$(0)$(/l) in a user's inventory will provide their $(item)Rod of the Shifting Crust$(0) with an endless supply of $(item)Dirt$(0) (assuming sufficient $(thing)Mana$(0) to conjure each dirt block, of course).$(p)If replacing a cubical area is not desired, using the $(l:tools/temperance_stone)$(item)Stone of Temperance$(0)$(/l) can reduce it to a plane of blocks."	"CHANGE"	"Другие жезлы и устройства могут снабжать $(item)Жезл обмена$(0) блоками.$(p)Например, $(l:tools/dirt_rod)$(item)Жезл земель$(0)$(/l) в инвентаре даёт $(item)Жезлу обмена$(0) бесконечный запас $(item)Земли$(0), если хватает $(thing)Маны$(0) на её создание.$(p)Если не нужно заменять кубическую область, $(l:tools/temperance_stone)$(item)Камень сдержанности$(0)$(/l) уменьшит её до плоскости блоков."
"mantle-book:tconstruct:puny_smelting:melting/meltergui2.json:/text/0/text"	"sha256:c7bee4c31e8ca89e7aa16ba92d4a287905e0e8fa2cbc5aadba5a2e82dc8178c2"	"1: These 3 slots are where you put in what you want to melt. It may be ores, ingots, or anything else you feel like attempting to melt!"	"CHANGE"	"1: В эти 3 слота вы помещаете то, что хотите расплавить. Это могут быть руды, слитки или что-то ещё!"
"mantle-book:tconstruct:puny_smelting:upgrades/general/tconstruct_emerald.json:/text/0/text"	"sha256:74eae3c9e42d2f1bbb16a85b70613e8e16c83b17a04d885e9c1d0850f201b993"	"A villager's best friend, don't let the villagers see you applying this! These aren't your lucky charms."	"CHANGE"	"Лучший друг крестьянина. Только не давайте крестьянам увидеть, как вы применяете это улучшение: это не ваши талисманы удачи."
