item_id	translation_key	source
enderio:clear_glass_na_orange	item.enderio.clear_glass_na_orange	Orange Clear Glass (Animals Blocked)
enderio:clear_glass_na_pink	item.enderio.clear_glass_na_pink	Pink Clear Glass (Animals Blocked)
enderio:clear_glass_na_purple	item.enderio.clear_glass_na_purple	Purple Clear Glass (Animals Blocked)
enderio:clear_glass_na_red	item.enderio.clear_glass_na_red	Red Clear Glass (Animals Blocked)
enderio:clear_glass_na_white	item.enderio.clear_glass_na_white	White Clear Glass (Animals Blocked)
enderio:clear_glass_na_yellow	item.enderio.clear_glass_na_yellow	Yellow Clear Glass (Animals Blocked)
enderio:clear_glass_nm	item.enderio.clear_glass_nm	Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_black	item.enderio.clear_glass_nm_black	Black Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_blue	item.enderio.clear_glass_nm_blue	Blue Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_brown	item.enderio.clear_glass_nm_brown	Brown Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_cyan	item.enderio.clear_glass_nm_cyan	Cyan Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_gray	item.enderio.clear_glass_nm_gray	Gray Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_green	item.enderio.clear_glass_nm_green	Green Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_light_blue	item.enderio.clear_glass_nm_light_blue	Light Blue Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_light_gray	item.enderio.clear_glass_nm_light_gray	Light Gray Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_lime	item.enderio.clear_glass_nm_lime	Lime Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_magenta	item.enderio.clear_glass_nm_magenta	Magenta Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_orange	item.enderio.clear_glass_nm_orange	Orange Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_pink	item.enderio.clear_glass_nm_pink	Pink Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_purple	item.enderio.clear_glass_nm_purple	Purple Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_red	item.enderio.clear_glass_nm_red	Red Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_white	item.enderio.clear_glass_nm_white	White Clear Glass (Monsters Blocked)
enderio:clear_glass_nm_yellow	item.enderio.clear_glass_nm_yellow	Yellow Clear Glass (Monsters Blocked)
enderio:clear_glass_np	item.enderio.clear_glass_np	Clear Glass (Players Blocked)
enderio:clear_glass_np_black	item.enderio.clear_glass_np_black	Black Clear Glass (Players Blocked)
enderio:clear_glass_np_blue	item.enderio.clear_glass_np_blue	Blue Clear Glass (Players Blocked)
enderio:clear_glass_np_brown	item.enderio.clear_glass_np_brown	Brown Clear Glass (Players Blocked)
enderio:clear_glass_np_cyan	item.enderio.clear_glass_np_cyan	Cyan Clear Glass (Players Blocked)
enderio:clear_glass_np_gray	item.enderio.clear_glass_np_gray	Gray Clear Glass (Players Blocked)
enderio:clear_glass_np_green	item.enderio.clear_glass_np_green	Green Clear Glass (Players Blocked)
enderio:clear_glass_np_light_blue	item.enderio.clear_glass_np_light_blue	Light Blue Clear Glass (Players Blocked)
enderio:clear_glass_np_light_gray	item.enderio.clear_glass_np_light_gray	Light Gray Clear Glass (Players Blocked)
enderio:clear_glass_np_lime	item.enderio.clear_glass_np_lime	Lime Clear Glass (Players Blocked)
enderio:clear_glass_np_magenta	item.enderio.clear_glass_np_magenta	Magenta Clear Glass (Players Blocked)
enderio:clear_glass_np_orange	item.enderio.clear_glass_np_orange	Orange Clear Glass (Players Blocked)
enderio:clear_glass_np_pink	item.enderio.clear_glass_np_pink	Pink Clear Glass (Players Blocked)
enderio:clear_glass_np_purple	item.enderio.clear_glass_np_purple	Purple Clear Glass (Players Blocked)
enderio:clear_glass_np_red	item.enderio.clear_glass_np_red	Red Clear Glass (Players Blocked)
enderio:clear_glass_np_white	item.enderio.clear_glass_np_white	White Clear Glass (Players Blocked)
enderio:clear_glass_np_yellow	item.enderio.clear_glass_np_yellow	Yellow Clear Glass (Players Blocked)
enderio:clear_glass_p	item.enderio.clear_glass_p	Clear Glass (Players Pass)
enderio:clear_glass_p_black	item.enderio.clear_glass_p_black	Black Clear Glass (Players Pass)
enderio:clear_glass_p_blue	item.enderio.clear_glass_p_blue	Blue Clear Glass (Players Pass)
enderio:clear_glass_p_brown	item.enderio.clear_glass_p_brown	Brown Clear Glass (Players Pass)
enderio:clear_glass_p_cyan	item.enderio.clear_glass_p_cyan	Cyan Clear Glass (Players Pass)
enderio:clear_glass_p_gray	item.enderio.clear_glass_p_gray	Gray Clear Glass (Players Pass)
enderio:clear_glass_p_green	item.enderio.clear_glass_p_green	Green Clear Glass (Players Pass)
enderio:clear_glass_p_light_blue	item.enderio.clear_glass_p_light_blue	Light Blue Clear Glass (Players Pass)
enderio:clear_glass_p_light_gray	item.enderio.clear_glass_p_light_gray	Light Gray Clear Glass (Players Pass)
enderio:clear_glass_p_lime	item.enderio.clear_glass_p_lime	Lime Clear Glass (Players Pass)
enderio:clear_glass_p_magenta	item.enderio.clear_glass_p_magenta	Magenta Clear Glass (Players Pass)
enderio:clear_glass_p_orange	item.enderio.clear_glass_p_orange	Orange Clear Glass (Players Pass)
enderio:clear_glass_p_pink	item.enderio.clear_glass_p_pink	Pink Clear Glass (Players Pass)
enderio:clear_glass_p_purple	item.enderio.clear_glass_p_purple	Purple Clear Glass (Players Pass)
enderio:clear_glass_p_red	item.enderio.clear_glass_p_red	Red Clear Glass (Players Pass)
enderio:clear_glass_p_white	item.enderio.clear_glass_p_white	White Clear Glass (Players Pass)
enderio:clear_glass_p_yellow	item.enderio.clear_glass_p_yellow	Yellow Clear Glass (Players Pass)
enderio:fused_quartz_a	item.enderio.fused_quartz_a	Fused Quartz (Animals Pass)
enderio:fused_quartz_a_black	item.enderio.fused_quartz_a_black	Black Fused Quartz (Animals Pass)
enderio:fused_quartz_a_blue	item.enderio.fused_quartz_a_blue	Blue Fused Quartz (Animals Pass)
enderio:fused_quartz_a_brown	item.enderio.fused_quartz_a_brown	Brown Fused Quartz (Animals Pass)
enderio:fused_quartz_a_cyan	item.enderio.fused_quartz_a_cyan	Cyan Fused Quartz (Animals Pass)
enderio:fused_quartz_a_gray	item.enderio.fused_quartz_a_gray	Gray Fused Quartz (Animals Pass)
enderio:fused_quartz_a_green	item.enderio.fused_quartz_a_green	Green Fused Quartz (Animals Pass)
enderio:fused_quartz_a_light_blue	item.enderio.fused_quartz_a_light_blue	Light Blue Fused Quartz (Animals Pass)
enderio:fused_quartz_a_light_gray	item.enderio.fused_quartz_a_light_gray	Light Gray Fused Quartz (Animals Pass)
enderio:fused_quartz_a_lime	item.enderio.fused_quartz_a_lime	Lime Fused Quartz (Animals Pass)
enderio:fused_quartz_a_magenta	item.enderio.fused_quartz_a_magenta	Magenta Fused Quartz (Animals Pass)
enderio:fused_quartz_a_orange	item.enderio.fused_quartz_a_orange	Orange Fused Quartz (Animals Pass)
enderio:fused_quartz_a_pink	item.enderio.fused_quartz_a_pink	Pink Fused Quartz (Animals Pass)
enderio:fused_quartz_a_purple	item.enderio.fused_quartz_a_purple	Purple Fused Quartz (Animals Pass)
enderio:fused_quartz_a_red	item.enderio.fused_quartz_a_red	Red Fused Quartz (Animals Pass)
enderio:fused_quartz_a_white	item.enderio.fused_quartz_a_white	White Fused Quartz (Animals Pass)
enderio:fused_quartz_a_yellow	item.enderio.fused_quartz_a_yellow	Yellow Fused Quartz (Animals Pass)
enderio:fused_quartz_da	item.enderio.fused_quartz_da	Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_black	item.enderio.fused_quartz_da_black	Black Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_blue	item.enderio.fused_quartz_da_blue	Blue Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_brown	item.enderio.fused_quartz_da_brown	Brown Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_cyan	item.enderio.fused_quartz_da_cyan	Cyan Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_gray	item.enderio.fused_quartz_da_gray	Gray Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_green	item.enderio.fused_quartz_da_green	Green Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_light_blue	item.enderio.fused_quartz_da_light_blue	Light Blue Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_light_gray	item.enderio.fused_quartz_da_light_gray	Light Gray Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_lime	item.enderio.fused_quartz_da_lime	Lime Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_magenta	item.enderio.fused_quartz_da_magenta	Magenta Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_orange	item.enderio.fused_quartz_da_orange	Orange Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_pink	item.enderio.fused_quartz_da_pink	Pink Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_purple	item.enderio.fused_quartz_da_purple	Purple Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_red	item.enderio.fused_quartz_da_red	Red Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_white	item.enderio.fused_quartz_da_white	White Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_da_yellow	item.enderio.fused_quartz_da_yellow	Yellow Dark Fused Quartz (Animals Pass)
enderio:fused_quartz_dm	item.enderio.fused_quartz_dm	Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_black	item.enderio.fused_quartz_dm_black	Black Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_blue	item.enderio.fused_quartz_dm_blue	Blue Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_brown	item.enderio.fused_quartz_dm_brown	Brown Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_cyan	item.enderio.fused_quartz_dm_cyan	Cyan Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_gray	item.enderio.fused_quartz_dm_gray	Gray Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_green	item.enderio.fused_quartz_dm_green	Green Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_light_blue	item.enderio.fused_quartz_dm_light_blue	Light Blue Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_light_gray	item.enderio.fused_quartz_dm_light_gray	Light Gray Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_lime	item.enderio.fused_quartz_dm_lime	Lime Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_magenta	item.enderio.fused_quartz_dm_magenta	Magenta Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_orange	item.enderio.fused_quartz_dm_orange	Orange Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_pink	item.enderio.fused_quartz_dm_pink	Pink Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_purple	item.enderio.fused_quartz_dm_purple	Purple Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_red	item.enderio.fused_quartz_dm_red	Red Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_white	item.enderio.fused_quartz_dm_white	White Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dm_yellow	item.enderio.fused_quartz_dm_yellow	Yellow Dark Fused Quartz (Monsters Pass)
enderio:fused_quartz_dna	item.enderio.fused_quartz_dna	Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_black	item.enderio.fused_quartz_dna_black	Black Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_blue	item.enderio.fused_quartz_dna_blue	Blue Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_brown	item.enderio.fused_quartz_dna_brown	Brown Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_cyan	item.enderio.fused_quartz_dna_cyan	Cyan Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_gray	item.enderio.fused_quartz_dna_gray	Gray Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_green	item.enderio.fused_quartz_dna_green	Green Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_light_blue	item.enderio.fused_quartz_dna_light_blue	Light Blue Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_light_gray	item.enderio.fused_quartz_dna_light_gray	Light Gray Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_lime	item.enderio.fused_quartz_dna_lime	Lime Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_magenta	item.enderio.fused_quartz_dna_magenta	Magenta Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_orange	item.enderio.fused_quartz_dna_orange	Orange Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_pink	item.enderio.fused_quartz_dna_pink	Pink Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_purple	item.enderio.fused_quartz_dna_purple	Purple Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_red	item.enderio.fused_quartz_dna_red	Red Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_white	item.enderio.fused_quartz_dna_white	White Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dna_yellow	item.enderio.fused_quartz_dna_yellow	Yellow Dark Fused Quartz (Animals Blocked)
enderio:fused_quartz_dnm	item.enderio.fused_quartz_dnm	Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_black	item.enderio.fused_quartz_dnm_black	Black Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_blue	item.enderio.fused_quartz_dnm_blue	Blue Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_brown	item.enderio.fused_quartz_dnm_brown	Brown Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_cyan	item.enderio.fused_quartz_dnm_cyan	Cyan Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_gray	item.enderio.fused_quartz_dnm_gray	Gray Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_green	item.enderio.fused_quartz_dnm_green	Green Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_light_blue	item.enderio.fused_quartz_dnm_light_blue	Light Blue Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_light_gray	item.enderio.fused_quartz_dnm_light_gray	Light Gray Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_lime	item.enderio.fused_quartz_dnm_lime	Lime Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_magenta	item.enderio.fused_quartz_dnm_magenta	Magenta Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_orange	item.enderio.fused_quartz_dnm_orange	Orange Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_pink	item.enderio.fused_quartz_dnm_pink	Pink Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_purple	item.enderio.fused_quartz_dnm_purple	Purple Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_red	item.enderio.fused_quartz_dnm_red	Red Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_white	item.enderio.fused_quartz_dnm_white	White Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnm_yellow	item.enderio.fused_quartz_dnm_yellow	Yellow Dark Fused Quartz (Monsters Blocked)
enderio:fused_quartz_dnp	item.enderio.fused_quartz_dnp	Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_black	item.enderio.fused_quartz_dnp_black	Black Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_blue	item.enderio.fused_quartz_dnp_blue	Blue Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_brown	item.enderio.fused_quartz_dnp_brown	Brown Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_cyan	item.enderio.fused_quartz_dnp_cyan	Cyan Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_gray	item.enderio.fused_quartz_dnp_gray	Gray Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_green	item.enderio.fused_quartz_dnp_green	Green Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_light_blue	item.enderio.fused_quartz_dnp_light_blue	Light Blue Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_light_gray	item.enderio.fused_quartz_dnp_light_gray	Light Gray Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_lime	item.enderio.fused_quartz_dnp_lime	Lime Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_magenta	item.enderio.fused_quartz_dnp_magenta	Magenta Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_orange	item.enderio.fused_quartz_dnp_orange	Orange Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_pink	item.enderio.fused_quartz_dnp_pink	Pink Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_purple	item.enderio.fused_quartz_dnp_purple	Purple Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_red	item.enderio.fused_quartz_dnp_red	Red Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_white	item.enderio.fused_quartz_dnp_white	White Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dnp_yellow	item.enderio.fused_quartz_dnp_yellow	Yellow Dark Fused Quartz (Players Blocked)
enderio:fused_quartz_dp	item.enderio.fused_quartz_dp	Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_black	item.enderio.fused_quartz_dp_black	Black Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_blue	item.enderio.fused_quartz_dp_blue	Blue Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_brown	item.enderio.fused_quartz_dp_brown	Brown Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_cyan	item.enderio.fused_quartz_dp_cyan	Cyan Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_gray	item.enderio.fused_quartz_dp_gray	Gray Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_green	item.enderio.fused_quartz_dp_green	Green Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_light_blue	item.enderio.fused_quartz_dp_light_blue	Light Blue Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_light_gray	item.enderio.fused_quartz_dp_light_gray	Light Gray Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_lime	item.enderio.fused_quartz_dp_lime	Lime Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_magenta	item.enderio.fused_quartz_dp_magenta	Magenta Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_orange	item.enderio.fused_quartz_dp_orange	Orange Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_pink	item.enderio.fused_quartz_dp_pink	Pink Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_purple	item.enderio.fused_quartz_dp_purple	Purple Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_red	item.enderio.fused_quartz_dp_red	Red Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_white	item.enderio.fused_quartz_dp_white	White Dark Fused Quartz (Players Pass)
enderio:fused_quartz_dp_yellow	item.enderio.fused_quartz_dp_yellow	Yellow Dark Fused Quartz (Players Pass)
enderio:fused_quartz_ea	item.enderio.fused_quartz_ea	Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_black	item.enderio.fused_quartz_ea_black	Black Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_blue	item.enderio.fused_quartz_ea_blue	Blue Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_brown	item.enderio.fused_quartz_ea_brown	Brown Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_cyan	item.enderio.fused_quartz_ea_cyan	Cyan Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_gray	item.enderio.fused_quartz_ea_gray	Gray Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_green	item.enderio.fused_quartz_ea_green	Green Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_light_blue	item.enderio.fused_quartz_ea_light_blue	Light Blue Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_light_gray	item.enderio.fused_quartz_ea_light_gray	Light Gray Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_lime	item.enderio.fused_quartz_ea_lime	Lime Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_magenta	item.enderio.fused_quartz_ea_magenta	Magenta Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_orange	item.enderio.fused_quartz_ea_orange	Orange Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_pink	item.enderio.fused_quartz_ea_pink	Pink Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_purple	item.enderio.fused_quartz_ea_purple	Purple Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_red	item.enderio.fused_quartz_ea_red	Red Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_white	item.enderio.fused_quartz_ea_white	White Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_ea_yellow	item.enderio.fused_quartz_ea_yellow	Yellow Enlightened Fused Quartz (Animals Pass)
enderio:fused_quartz_em	item.enderio.fused_quartz_em	Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_black	item.enderio.fused_quartz_em_black	Black Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_blue	item.enderio.fused_quartz_em_blue	Blue Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_brown	item.enderio.fused_quartz_em_brown	Brown Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_cyan	item.enderio.fused_quartz_em_cyan	Cyan Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_gray	item.enderio.fused_quartz_em_gray	Gray Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_green	item.enderio.fused_quartz_em_green	Green Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_light_blue	item.enderio.fused_quartz_em_light_blue	Light Blue Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_light_gray	item.enderio.fused_quartz_em_light_gray	Light Gray Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_lime	item.enderio.fused_quartz_em_lime	Lime Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_magenta	item.enderio.fused_quartz_em_magenta	Magenta Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_orange	item.enderio.fused_quartz_em_orange	Orange Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_pink	item.enderio.fused_quartz_em_pink	Pink Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_purple	item.enderio.fused_quartz_em_purple	Purple Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_red	item.enderio.fused_quartz_em_red	Red Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_white	item.enderio.fused_quartz_em_white	White Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_em_yellow	item.enderio.fused_quartz_em_yellow	Yellow Enlightened Fused Quartz (Monsters Pass)
enderio:fused_quartz_ena	item.enderio.fused_quartz_ena	Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_black	item.enderio.fused_quartz_ena_black	Black Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_blue	item.enderio.fused_quartz_ena_blue	Blue Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_brown	item.enderio.fused_quartz_ena_brown	Brown Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_cyan	item.enderio.fused_quartz_ena_cyan	Cyan Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_gray	item.enderio.fused_quartz_ena_gray	Gray Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_green	item.enderio.fused_quartz_ena_green	Green Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_light_blue	item.enderio.fused_quartz_ena_light_blue	Light Blue Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_light_gray	item.enderio.fused_quartz_ena_light_gray	Light Gray Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_lime	item.enderio.fused_quartz_ena_lime	Lime Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_magenta	item.enderio.fused_quartz_ena_magenta	Magenta Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_orange	item.enderio.fused_quartz_ena_orange	Orange Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_pink	item.enderio.fused_quartz_ena_pink	Pink Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_purple	item.enderio.fused_quartz_ena_purple	Purple Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_red	item.enderio.fused_quartz_ena_red	Red Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_white	item.enderio.fused_quartz_ena_white	White Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_ena_yellow	item.enderio.fused_quartz_ena_yellow	Yellow Enlightened Fused Quartz (Animals Blocked)
enderio:fused_quartz_enm	item.enderio.fused_quartz_enm	Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_black	item.enderio.fused_quartz_enm_black	Black Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_blue	item.enderio.fused_quartz_enm_blue	Blue Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_brown	item.enderio.fused_quartz_enm_brown	Brown Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_cyan	item.enderio.fused_quartz_enm_cyan	Cyan Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_gray	item.enderio.fused_quartz_enm_gray	Gray Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_green	item.enderio.fused_quartz_enm_green	Green Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_light_blue	item.enderio.fused_quartz_enm_light_blue	Light Blue Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_light_gray	item.enderio.fused_quartz_enm_light_gray	Light Gray Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_lime	item.enderio.fused_quartz_enm_lime	Lime Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_magenta	item.enderio.fused_quartz_enm_magenta	Magenta Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_orange	item.enderio.fused_quartz_enm_orange	Orange Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_pink	item.enderio.fused_quartz_enm_pink	Pink Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_purple	item.enderio.fused_quartz_enm_purple	Purple Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_red	item.enderio.fused_quartz_enm_red	Red Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_white	item.enderio.fused_quartz_enm_white	White Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enm_yellow	item.enderio.fused_quartz_enm_yellow	Yellow Enlightened Fused Quartz (Monsters Blocked)
enderio:fused_quartz_enp	item.enderio.fused_quartz_enp	Enlightened Fused Quartz (Players Blocked)
