id	source_hash	source	native_translation	verdict	recommendation	reason	native_visible_length	recommended_visible_length	length_ratio
patchouli-lang:botania:botania.page.arcanerose0	sha256:f5a69a96b97dd3bb7d38d895b56605ffcc7041e9b8fb31f9bc335da48a635acc	$(thing)Experience Points$(0) contain a magic of their own. The $(item)Rosa Arcana$(0) can tap into this magic, absorbing the experience of nearby players and turning it into $(thing)Mana$(0).$(p)It can also synthesize mana from experience orbs and enchanted items in the world.	$(thing)Очки опыта$(0) — это своего рода форма магии. $(item)Роза тайн$(0) может связаться с этой магией и поглощать опыт игроков поблизости, превращая его в $(item)ману$(0).$(p)Она также может синтезировать выпавшие очки опыта и зачарованные предметы.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	214		
patchouli-lang:botania:botania.page.arcanerose1	sha256:0517f8ddfdd66cf0e102413c0b96292cb65b6d348c77edf3763d2982f3e29676	$(o)When this flower is planted, toss a coin$().	$(o)Цветку заплатите чеканной монетой$()…	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	34		
patchouli-lang:botania:botania.page.astrolabe0	sha256:1da7f57c80bf9300f6ff08c60624c47a673dedd228cbad70f3664bc62b587185	The $(item)Worldshaper's Astrolabe$(0) is a handy tool to place blocks. A lot of them. Really quickly.$(p)To use it, sneak-right click the astrolabe on a block to choose the block to be placed, and sneak-right click the astrolabe in the air to choose the number of blocks to be placed.	$(item)Астролябия формирователя мира$(0) — полезный инструмент для размещения блоков. Много блоков. Очень быстро.$(p)Нажатие [$(k:sneak)+$(k:use)] астролябией по блоку выбирает его как блок для размещения. Повторное нажатие [$(k:sneak)+$(k:use)], но уже по воздуху, выбирает количество блоков для размещения.	CHANGE	$(item)Астролябия формирователя мира$(0) — удобный инструмент для быстрой установки множества блоков.$(p)Чтобы выбрать блок, присядьте и нажмите ПКМ астролябией по нему. Присядьте и нажмите ПКМ в воздухе, чтобы выбрать количество блоков.	Уточнено по английскому источнику и упрощено для игрового текста.	257	222	0.864
patchouli-lang:botania:botania.page.astrolabe1	sha256:707244a191810d3abf3d68611ced11991e7189f03bf8e0fdd5e24d9459ccefda	Once a block is selected, the astrolabe will display a preview of what it would construct at a given position.$(p)To actually construct the previewed blocks (using $(thing)Mana$(0) as well as blocks from the user's inventory), simply right-click the astrolabe. Blocks can also be supplied from items like a $(l:tools/dirt_rod)$(item)Rod of the Lands$(0)$(/l), a $(l:tools/cobble_rod)$(item)Rod of the Depths$(0)$(/l), or a $(l:ender/ender_hand)$(item)Hand of Ender$(0)$(/l).	После выбора блока астролябия покажет предварительный просмотр того, что она построит в указанном месте.$(p)Нажатие [$(k:use)] с астролябией разместит просмотренную структуру (используя $(thing)ману$(0) и блоки из инвентаря). Астролябия может использовать блоки из $(l:tools/dirt_rod)скипетра лугов$(/l), $(l:tools/cobble_rod)скипетра глубин$(/l) и $(l:ender/ender_hand)эндер-руки$(/l).	CHANGE	Выбрав блок, вы увидите, что астролябия построит в указанном месте.$(p)Чтобы разместить показанные блоки, нажмите ПКМ астролябией: будут потрачены $(thing)Мана$(0) и блоки из инвентаря. Блоки также могут поступать из $(l:tools/dirt_rod)$(item)Жезла Земель$(0)$(/l), $(l:tools/cobble_rod)$(item)Жезла глубин$(0)$(/l) или $(l:ender/ender_hand)$(item)Руки Края$(0)$(/l).	Уточнено по английскому источнику и упрощено для игрового текста.	286	242	0.846
patchouli-lang:botania:botania.page.astrolabe2	sha256:2e8377a09498bd4224d9e0f91a7768430bcb41fd639f6e460fdbcfd76bd93f99	Builds walls, creates worlds	$(o)Строит стены, формирует миры$()	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	28		
patchouli-lang:botania:botania.page.auraRing0	sha256:335a4a5bb268c2a8e2815c340c4d8c4cb0126efc66d8b826546356b5b40ad6ad	The $(item)Band of Aura$(0) is a variant $(l:baubles/mana_ring)$(item)Band of Mana$(0)$(/l); instead of storing $(thing)Mana$(0), it generates a slow trickle of it (when equipped) and stores it in $(thing)Mana$(0)-containing items in its wearer's inventory.$(p)Plating it with an ingot of $(l:basics/terrasteel)$(item)Terrasteel$(0)$(/l) upgrades it to generate $(thing)Mana$(0) at a significantly faster rate.	$(item)Кольцо ауры$(0) немного отличается от обычного $(l:baubles/mana_ring)кольца маны$(/l). Вместо хранения $(thing)маны$(0), оно медленно создаёт её и наполняет хранящие $(thing)ману$(0) предметы в вашем инвентаре (например, $(l:mana/mana_tablet)планшет маны$(/l)).$(p)Используя $(l:basics/terrasteel)террасталь$(/l), можно создать более мощное кольцо, генерирующее $(thing)ману$(0) значительно быстрее.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	275		
patchouli-lang:botania:botania.page.auraRing1	sha256:858e4ad724502c31fcc2854eaf143add711f37a4c132cbd6a1b506d6fcb82983	Creating the ring	Создание кольца	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	15		
patchouli-lang:botania:botania.page.auraRing2	sha256:08168bb728185934c21fd073b46d475fe898781b3d07eadf7e11f1e6dcf55406	Upgrading the ring	Улучшение кольца	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	16		
patchouli-lang:botania:botania.page.autocraftingHalo0	sha256:b7d4dfabd2d93a888661f99b554082c02d28173792a58411a58ecec68e32b909	The $(item)Manufactory Halo$(0) is an upgrade of the $(l:tools/crafting_halo)$(item)Assembly Halo$(0)$(/l): aside from doing all that the $(l:tools/crafting_halo)$(item)Assembly Halo$(0)$(/l) can do, the $(item)Manufactory Halo$(0) will (when $(o)not$() held) automatically craft all possible saved recipes.$(p)Automatic compression of ores while mining is just one of many applications this upgrade has.	$(item)Фабричный венец$(0) — это прямое улучшение $(l:tools/crafting_halo)сборочного венца$(/l). Помимо исполнения всех функций $(l:tools/crafting_halo)сборочного венца$(/l), $(item)фабричный венец$(0) может (когда $(thing)не$(0) находится в руке) автоматически запускать создание всех доступных записанных рецептов.$(p)Автоматическое сжатие руд при добыче — это лишь одно из множества применений этого улучшения.	CHANGE	$(item)Фабричный венец$(0) — улучшение $(l:tools/crafting_halo)$(item)Сборочного венца$(0)$(/l). Он умеет всё, что и $(l:tools/crafting_halo)$(item)Сборочный венец$(0)$(/l), но, пока $(item)Фабричный венец$(0) $(o)не$() находится в руке, автоматически создаёт все возможные сохранённые рецепты.$(p)Например, он может сжимать руду прямо во время добычи.	Уточнено по английскому источнику и упрощено для игрового текста.	317	239	0.754
patchouli-lang:botania:botania.page.autocraftingHalo1	sha256:c09101a6d66bb27e749a767e93b7ab331eabe25d4177af8719b593fa7a78e7a1	Halo Now Launcher$(p)Automatic crafting can be toggled on/off by right-clicking the $(item)Manufactory Halo$(0) in your inventory, or by right-clicking its $(item)Crafting Table$(0) segment while sneaking.	$(o)Венец творения$()$(p)Автоматическое создание можно включить/выключить: нажмите [$(k:use)] на $(item)фабричный венец$(0) в вашем инвентаре, или нажмите [$(k:sneak)+$(k:use)] по сегменту $(item)верстака$(0) в меню венца.	CHANGE	Запуск венца$(p)Автокрафт включается и выключается нажатием ПКМ по $(item)Фабричному венцу$(0) в инвентаре или по его сегменту $(item)Верстака$(0) с зажатым Shift.	Уточнено по английскому источнику и упрощено для игрового текста.	163	137	0.840
patchouli-lang:botania:botania.page.avatar0	sha256:b5ff6b5b5fd69ade34928bbca333ded77f325b778faf92c1aa4512301d0c8f03	Carving some $(l:basics/pure_daisy)$(item)Livingwood$(0)$(/l) into a humanoid and giving it a $(l:mana/pool)$(item)Mana Diamond$(0)$(/l) for a heart yields an apparatus known as the $(item)Livingwood Avatar$(0). By itself, the block is just a pretty face; however, giving it a $(thing)Rod$(0) enables it to cast magic. At the cost of $(thing)Mana$(0), from a spreader, of course.	Если вырезать из $(l:basics/pure_daisy)жизнедерева$(/l) гуманоидную фигурку, и поставить ей $(l:mana/pool)манаалмаз$(/l) вместо сердца, получится $(item)жизнедеревянный идол$(0). Сам по себе он ничего не делает; идолу нужно дать какой-нибудь $(thing)скипетр$(0) — он может использовать их, используя $(thing)ману$(0) от $(l:mana/spreader)распространителя$(/l).	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	256		
patchouli-lang:botania:botania.page.avatar1	sha256:6b5518da0ec02d257ff80633fdf7247929e1ba8fdf2adfba6cff8c540e90c8b4	Not all $(thing)Rods$(0) can be used by an avatar. Any that do, however, are detailed in this book.$(p)Try out the $(l:tools/tornado_rod)$(item)Rod of the Skies$(0)$(/l), $(l:tools/fire_rod)$(item)Rod of the Hells$(0)$(/l) and $(l:tools/divining_rod)$(item)Rod of the Plentiful Mantle$(0)$(/l), for starters.$(p)Applying a redstone signal to the avatar will prevent it from casting.	$(item)Жизнедеревянные идолы$(0) могут использовать не все $(thing)скипетры$(0); в главе о соответствующем скипетре будет написано, сможет ли идол его использовать.$(p)Это не весь список, но для начала можете попробовать эти скипетры: $(l:tools/tornado_rod)скипетр небес$(/l), $(l:tools/fire_rod)скипетр жуткого пекла$(/l) и $(l:tools/divining_rod)скипетр богатства земли$(/l).$(p)Подача редстоун-сигнала на идол запрещает ему использовать скипетры.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	339		
patchouli-lang:botania:botania.page.avatar2	sha256:b51c3b7074c4a735832393decd7b4d3a0e06b56545bfe920df0e1faee9906834	But is it an anime?	$(o)Не сотвори себе кумира$()	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	22		
patchouli-lang:botania:botania.page.azulejo0	sha256:7fa9b438a76be0447b3b8e375ce0b90a94bef131f68b6d0aedb5fe8a7215a35d	$(item)Azulejos$(0) are decorative blocks, textured with tileable patterns of blue and white, crafted simply from any $(item)Blue Dye$(0) and a $(item)Block of Quartz$(0).$(p)The sixteen different designs can be cycled through on a crafting grid or freely exchanged between using a stonecutter.	$(item)Азулежу$(0) — это декоративный блок из разных комбинаций белых и синих плиток. Чтобы создать азулежу, нужно смешать $(item)синий краситель$(0) с $(item)кварцевым блоком$(0).$(p)У азелужу есть 16 разных узоров: узор меняется на сетке верстака или на камнерезе.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	229		
patchouli-lang:botania:botania.page.azulejo1	sha256:42bfd48948b6103b39982427dddb88b301903f573c4d97efdf0907d26588a708	The various patterns	Различные узоры	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	15		
patchouli-lang:botania:botania.page.azulejo2	sha256:87209bbf663f144a9edbc741bbabbf65b86b20a2e3f8fc22f0d41dde966b48c5	Crafting $(item)Azulejos$(0)	Создание $(item)азулежу$(0)	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	16		
patchouli-lang:botania:botania.page.azulejo3	sha256:6809cb7c0e1ede5a85c8de8ebc8b27663d745d1f4f685bb55377cf562b63b7d7	Cycling through the patterns	Циклическая смена узоров	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	24		
patchouli-lang:botania:botania.page.bIntro0	sha256:e6382017a1d2812e52940c82fbe92a9bd7ebe386aa08142aa9e42223c392fecc	$(thing)Trinkets$(0) (also known as $(thing)Curios$(0), $(thing)Baubles$(0), or $(thing)Charms$(0)) are accessories that offer all sorts of different effects when worn.$(p)To equip them, press [$(k:curios.open.desc)].	$(thing)Аксессуары$(0) (также известные как $(thing)Curios$(0), $(thing)Baubles$(0) или $(thing)Charms$(0)) — это украшения, служащие для повышения характеристик или получения необычных эффектов.$(p)Чтобы надеть их, нажмите [$(k:curios.open.desc)].	CHANGE	$(thing)Безделушки$(0), также известные как $(thing)Curios$(0), $(thing)Baubles$(0) или $(thing)Амулеты$(0), — это носимые аксессуары с разными эффектами.$(p)Чтобы открыть их меню, нажмите [$(k:curios.open.desc)].	Уточнено по английскому источнику и упрощено для игрового текста.	175	140	0.800
patchouli-lang:botania:botania.page.bIntro1	sha256:e078119623395bf8a830af935b6b8447b805d342d59989957747632a460c1b05	The $(thing)Curios Screen$(0)	$(thing)Меню аксессуаров Curios$(0)	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	23		
patchouli-lang:botania:botania.page.bIntro1_trinkets	sha256:b6f2d7504a89ae20db3ea82a43e0168a5b39fdd746a271e0b193648a6d2fbc6b	The $(thing)Trinkets Screen$(0)	$(thing)Меню аксессуаров Trinkets$(0)	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	25		
patchouli-lang:botania:botania.page.bIntro2	sha256:bad26f77220cc22835fb1ea7440095ffc06f9048b517fbfe6abe575fc3e85a21	Do note that if any other mod uses the $(thing)Curios$(0) system, equipment slots must be shared with that mod's $(thing)Trinkets$(0) as well.	Учтите, что если какой-либо другой мод использует систему $(thing)аксессуаров Curious$(0), то слоты аксессуаров будет делится между ними и $(thing)аксессуарами$(0) этого мода.	CHANGE	Учтите: если другой мод тоже использует систему $(thing)Безделушек$(0), слоты экипировки придётся делить с $(thing)Безделушками$(0) этого мода.	Уточнено по английскому источнику и упрощено для игрового текста.	151	119	0.788
patchouli-lang:botania:botania.page.bIntro2_trinkets	sha256:35c773ee450043df6c1bf017250b5cc3a49657d2af2619c435fe4b092667c86b	Do note that if any other mod uses the $(thing)Trinkets$(0) system, equipment slots must be shared with that mod's $(thing)Trinkets$(0) as well.	Учтите, что если какой-либо другой мод использует систему $(thing)аксессуаров Trinkets$(0), то слоты аксессуаров будет делится между ними и $(thing)аксессуарами$(0) этого мода.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	152		
patchouli-lang:botania:botania.page.banners0	sha256:6d6b83cc30939aa9eabbae8c98e2756f39f10dbea84badd04c02bab9cf02ce48	$(thing)Botania$(0) adds $(thing)15$(0) new icons to banners, which can be mixed and matched with vanilla patterns and icons.$(p)The following items can be used alongside a dye in a $(item)Loom$(0) to add an icon to a $(item)Banner$(0): $(l:mana/spark_upgrades)$(item)Spark Augments$(0)$(/l), $(item)Livingwood and Dreamwood Twigs$(0), the $(l:basics/lexicon)$(item)Lexica Botania$(0)$(/l), $(l:basics/terrasteel)$(item)Terrasteel$(0)$(/l), and the $(l:misc/tiny_potato)$(item)Tiny Potato$(0)$(/l). Additionally, patterns for fish and the base tools are available without requiring a pattern item.	$(thing)Ботания$(0) добавляет $(thing)15$(0) новых узоров для баннеров, их можно совмещать с ванильными узорами.$(p)Следующие предметы с добавлением красителя на $(item)ткацком станке$(0) создают новые узоры на $(item)баннерах$(0): $(l:mana/spark_upgrades)аугментации искр$(/l), $(item)ветка жизнедерева$(0) или $(item)дерева мечтаний$(0), $(l:basics/lexicon)лексикон Ботании$(/l), $(l:basics/terrasteel)террасталь$(/l) и $(l:misc/tiny_potato)крошка-картошка$(/l).	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	286		
patchouli-lang:botania:botania.page.banners1	sha256:f35cd044acabe295b9c771d7023074d1ff3960eb46e051b03e1111b08c19f0b3	The banner patterns	Новые узоры флагов	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	18		
patchouli-lang:botania:botania.page.baubleBox0	sha256:92ca6e6cf884171650eef384d95241a717c86c8e4d1f7df8b5d79ffb0dcd18a9	It's possible to have $(o)too$() many $(thing)Trinkets$(0) on hand-- after all, inventory space is limited. A solution: stash them in a $(item)Trinket Case$(0), a handy container for $(thing)Trinkets$(0).$(p)The case's interface lets its user quickly swap their equipped $(thing)Trinkets$(0). The case can also store $(thing)Rods$(0) and $(thing)Mana$(0)-containing items, like $(l:mana/mana_tablet)$(item)Mana Tablets$(0)$(/l) (though they can't provide $(thing)Mana$(0) when in the box).	Иногда нужных $(thing)аксессуаров$(0) становится $(o)слишком$() много, а места в инвентаре для них не хватает. Решение: сложить их в специальный $(item)ларец для аксессуаров$(0).$(p)В меню ларца можно быстро менять надетые аксессуары. В ларец также можно класть хранящие $(thing)ману$(0) предметы (например, $(l:mana/mana_tablet)планшет маны$(/l)).	LENGTH_EXCEPTION	Когда $(o)слишком$() много $(thing)Безделушек$(0), места в инвентаре не хватает. Уберите их в $(item)Кейс для безделушек$(0) — удобное хранилище для $(thing)Безделушек$(0).$(p)Через его меню можно быстро менять надетые $(thing)Безделушки$(0). В кейсе также помещаются $(thing)Жезлы$(0) и предметы с $(thing)Маной$(0), например $(l:mana/mana_tablet)$(item)Планшеты маны$(0)$(/l), но внутри кейса они не могут передавать $(thing)Ману$(0).	Уточнено по английскому источнику и упрощено для игрового текста.	276	305	1.105
patchouli-lang:botania:botania.page.baubleBox1	sha256:0c97134491c226bfc7431d78ccd77da33db11e0a9c7431f606e9980bd428cd1a	It could even be a boat!	$(o)А ларчик просто открывался!$()	CHANGE	Он может быть даже лодкой!	Уточнено по английскому источнику и упрощено для игрового текста.	27	26	0.963
patchouli-lang:botania:botania.page.bellethorne0	sha256:fca4adfa22ae0289296031d6af30d3dc1023a275fac064a068a4ebf7203c8f21	The $(item)Bellethorne$(0) is a malevolent flower. It twists any $(thing)Mana$(0) provided to slowly inflict harm in any living beings (save for $(thing)players$(0)) around it.	$(item)Звоношип$(0) — это разрушительный и опасный магический цветок. Он искажает любую $(thing)ману$(0), чтобы медленно причинять вред всем живым существам вокруг него (безопасно для самих $(thing)ботаников$(0)).	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	178		
patchouli-lang:botania:botania.page.bellethorne1	sha256:4424d922de4114f5381fd7aee21189858ca2c4835b9e58c7fe000a3317122715	$(o)Every rose has its thorn$().	$(o)У каждой розы есть шипы$()	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	23		
patchouli-lang:botania:botania.page.bellows0	sha256:7f236f813831b3ca38a0c6936c96e2909e4b5386cbc847065a27d8e52ec35f19	The $(item)Manatide Bellows$(0) increases the speed of $(l:mana/pool)$(item)Mana Pools$(0)$(/l)' output.$(p)Placing these bellows next to (and pointing towards) a $(l:mana/pool)$(item)Mana Pool$(0)$(/l) will increase the speed at which the pool outputs its $(thing)Mana$(0) into $(l:mana/mana_tablet)$(item)Mana Tablets$(0)$(/l) or other items. Multiple bellows will further increase the transfer rate.	$(item)Мана-мехи$(0) — это простое устройство, увеличивающее скорость передачи маны из $(l:mana/pool)бассейна$(/l). $(p)Мехи, стоящие вплотную и направленные в сторону $(l:mana/pool)бассейна маны$(/l), увеличивают скорость, с которой бассейн выпускает свою $(thing)ману$(0) в $(l:mana/mana_tablets)планшеты маны$(/l) или другие предметы. Эффект мехов складывается.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	272		
patchouli-lang:botania:botania.page.bellows1	sha256:0a94a3d53a29d49d312a24ef0633a621836cca3d59a0ee3e9157cd5a74e776d2	A slightly more mundane use of the $(item)Manatide Bellows$(0) is to stoke a $(item)Furnace$(0)'s flames.$(p)A $(item)Manatide Bellows$(0) can be operated manually via a right-click; pointing the bellows towards an active $(item)Furnace$(0) and manning it will increase the speed and efficiency at which the items in the $(item)Furnace$(0) get smelted.	Немного менее интересное применение $(item)мана-мехов$(0) — разжигать пламя $(item)печи$(0). $(p)$(item)Мана-мехи$(0) можно использовать вручную, нажав [$(k:use)]. Если повернуть их на активную $(item)печь$(0), и раздуть, то это увеличит скорость и эффективность печи.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	212		
patchouli-lang:botania:botania.page.bellows2	sha256:89cbb6459db29d972b04e20e50ebe5bccb5b9b3ff44d5b02d0c5a2bfc75c8af2	It is your duty to be stoked	$(o)Это какое-то надувательство!$()	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	28		
patchouli-lang:botania:botania.page.bergamute0	sha256:b9566ec69491df94b0f5fbcf77edd37343b2cbc58de96302f4593be5440439b3	Anyone who's ever attempted ranching knows of the cacophonous din emitted by herds of animals. Luckily, the $(item)Bergamute$(0) can deafen such dins.	Каждый, кто когда-либо занимался скотоводством, знает об оглушительном шуме, создаваемом стадами животных. К счастью, $(item)бергамут$(0) может заглушить этот шум.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	152		
patchouli-lang:botania:botania.page.bergamute1	sha256:43fc73d30a41fc76c0c3528c74c9679d5f14d3cba2d3e74793aa675dd1cfe43d	The $(item)Bergamute$(0) absorbs sound energy emitted in a close radius around itself, converting it into trace amounts of mana and dispersing it harmlessly. It halves the volume of sounds within reach, the effect stacking with other nearby $(item)Bergamutes$(0).$(p)Additionally, $(l:tools/grass_horn)$(item)Horns$(0)$(/l) or $(l:devices/forest_drum)$(item)Drums$(0)$(/l) will not break blocks within its range, and vibrations passing through its area of effect are muffled.	$(item)Бергамут$(0) поглощает звуковую энергию поблизости, превращая её в небольшие сгустки маны, и безопасно её рассеивает. Цветок уменьшает громкость звуков в пределах его досягаемости в два раза, причём этот эффект складывается с другими $(item)бергамутами$(0) неподалёку.$(p)Кроме того, $(l:tools/grass_horn)рога$(/l) и $(l:devices/forest_drum)барабаны$(/l) не смогут разрушить блоки в зоне действия $(item)бергамута$(0), так как разрушающие вибрации, проходящие через эту область, поглощаются.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	406		
patchouli-lang:botania:botania.page.bergamute2	sha256:9877469ae511e92d0c325e30ad150a67cbc754487b7a69e6b9ed5787823dc37b	Deaf to All but the Song	$(o)Избирательное слушание$()	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	22		
patchouli-lang:botania:botania.page.blackHoleTalisman0	sha256:136aefd53e66b9576c47361b5ab93bbd89b20ae9cd03bd076f6f6383dc3e1241	The void is a massive space full of... nothing. Really. There's nothing there. But with a bit of ingenuity, this nothingness can be exploited to store blocks for you to your heart's content.$(p)The $(item)Black Hole Talisman$(0) utilizes powerful Gaia and Ender magics to store a virtually infinite quantity of a single type of block.	Пустота — это огромное пространство, полное… ничего. Не важно, во всяком случае, с небольшой толикой изобретательности, это ничто можно использовать для хранения блоков в любых количествах.$(p)$(item)Талисман чёрной дыры$(0) использует мощную магию Гайи и Энда для хранения практически бесконечного количества одного вида блока.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	313		
patchouli-lang:botania:botania.page.blackHoleTalisman1	sha256:652039e8eb14632e3341f6471c6334129d3dcb04ee7fb4b024ac7276623ead57	Right-clicking a block with an empty Talisman will set it to store that type of block, and sneak-right clicking the Talisman in the air will enable or disable it. When enabled, a Talisman will absorb any blocks of its given type from its user's inventory.$(p)Placing the item in a crafting grid will yield its stored blocks, a stack at a time.	Вид блока для хранения записывается в талисман нажатием [$(k:use)] на нужный блок, а нажатие [$(k:sneak)+$(k:use)] по воздуху включает или выключает его. Когда талисман активирован, он поглощает все подходящие блоки из инвентаря пользователя.$(p)Сохранённые блоки можно извлечь, поместив талисман в сетку создания.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	284		
patchouli-lang:botania:botania.page.blackHoleTalisman2	sha256:5f77a2dec3d4479677fb0a713967210e4ffcfd12b066f8536f8ac424f23ed5bf	Any blocks stored in a Talisman can be placed by simply right-clicking with it.$(p)Sneak-right clicking the Talisman on an inventory will dump up to a stack of blocks into that inventory. Finally, a Talisman can provide a $(l:tools/exchange_rod)$(item)Rod of the Shifting Crust$(0)$(/l) with the blocks it contains.	Любые блоки, хранящиеся в талисмане, можно разместить, нажав [$(k:use)] с талисманом в руке.$(p)Нажатие [$(k:sneak)+$(k:use)] с талисманом по контейнеру переместит в него до одного стака блоков за раз. Наконец, талисман может снабжать $(l:tools/exchange_rod)скипетр обмена$(/l) своими блоками.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	235		
patchouli-lang:botania:botania.page.blackHoleTalisman3	sha256:cf960e02ac1402b6c4c581deb8bd356b922b8f92c8e07ba1fa6c711a933fd51e	Technically incorrect, the worst type of incorrect	$(o)«Технически неверно» то же самое, что и «Ты вообще не прав, но да»$()	CHANGE	Технически неверно, а это худший вид неверности	Уточнено по английскому источнику и упрощено для игрового текста.	66	47	0.712
patchouli-lang:botania:botania.page.blackLotus0	sha256:91e0a42912586b3e2edda7e345c37e499db7ea013143190942492be6e96fc767	An elusive flower by the name of the $(item)Black Lotus$(0) exists; however, it is not known to grow or reproduce. There are no known sources of the Lotus at this time.$(p)It is known, however, that each bloom contains a good deal of concentrated $(thing)Mana$(0) that can be released by dissolving it inside a non-empty $(l:mana/pool)$(item)Mana Pool$(0)$(/l). Just throwing it in will do.	Известно, что таинственный цветок под названием $(item)чёрный лотос$(0) действительно существует, но при этом нигде не растёт и не размножается. До сих пор не существует надёжных источников чёрного лотоса.$(p)Знают только то, что он содержит в себе большое количество концентрированной $(thing)маны$(0), которую можно высвободить, растворив лотос в $(l:mana/pool)бассейне маны$(/l). Просто бросьте его туда.	CHANGE	Существует редкий цветок - $(item)Черный лотос$(0), но неизвестно, где он растет и размножается; известных источников у него нет.$(p)В каждом цветке много концентрированной $(thing)маны$(0). Бросьте его в непустой $(l:mana/pool)$(item)Бассейн маны$(0)$(/l), чтобы высвободить ее.	Уточнено по английскому источнику и упрощено для игрового текста.	361	222	0.615
patchouli-lang:botania:botania.page.blazeBlock0	sha256:e1430afc0d681adea3d971d2bb7e352da90b0b00fba8bab1df9bfa7604fd1a99	Mashing a bunch of blaze essences together yields a functional (if crude) decorative light block.$(p)Like a $(item)Block of Coal$(0), the $(item)Blaze Mesh$(0) can be burned in furnaces (or $(l:generating_flowers/endoflame)$(item)Endoflames$(0)$(/l)). Strangely enough, when placed by a $(l:basics/pure_daisy)$(item)Pure Daisy$(0)$(/l), it transforms into $(item)Obsidian$(0).	Сжав огненную эссенцию, можно получить функциональный (хоть и грубый) декоративный источник света.$(p)Как и $(item)угольный блок$(0), $(item)огненная сетка$(0) может использоваться как топливо для печей (и, следовательно, для $(l:generating_flowers/endoflame)эндопламени$(/l)). Каким-то непонятным образом, $(item)огненная сетка$(0) превращается в $(item)обсидиан$(0), если стоит рядом с $(l:basics/pure_daisy)чистой маргариткой$(/l).	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	321		
patchouli-lang:botania:botania.page.blazeBlock1	sha256:5bfe1eadc206dcb6f997b92de3683485ac00f5a1d1bba318d103a969c8fee2af	0x1a4	$(o)0x1a4 каждый день$()	CHANGE	0x1a4.	Сокращено и приведено к естественной игровой формулировке по английскому источнику.	17	6	0.353
patchouli-lang:botania:botania.page.bloodPendant0	sha256:b84ebfccd3fee482d47da0aa6a42eb9a88c942c4e9294f27fdff1c30d1981d5f	The essences of the $(thing)Nether$(0), from which the original $(thing)Potions$(0) were created, are very efficient at storing the powers of effects.$(p)The $(item)Tainted Blood Pendant$(0), crafted from such essences, can store a $(thing)Brew$(0) in a condensed, stable form. A Pendant with a stored $(thing)Brew$(0), when worn, will lens $(thing)Mana$(0) through itself to provide its stored effect.	Эссенции $(thing)Незера$(0), из которых были созданы оригинальные $(thing)зелья$(0), очень эффективно хранят силу эффектов.$(p)$(item)Кулон порченной крови$(0), изготовленный из этих эссенций, может хранить $(thing)отвар$(0) в сжатом и стабильном виде. Экипированный кулон с сохранённым $(thing)отваром$(0) наделяет эффектом, пропуская через себя $(thing)ману$(0).	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	289		
